Biological_String,CL_Code
cell,CL:0000000
primary cultured cell,CL:0000001
obsolete immortal cell line cell,CL:0000002
obsolete native cell,CL:0000003
obsolete cell by organism,CL:0000004
neural crest derived fibroblast,CL:0000005
neuronal receptor cell,CL:0000006
early embryonic cell (metazoa),CL:0000007
migratory cranial neural crest cell,CL:0000008
obsolete fusiform initial,CL:0000009
cultured cell,CL:0000010
migratory trunk neural crest cell,CL:0000011
obsolete cell by class,CL:0000012
obsolete dentine secreting cell,CL:0000013
germ line stem cell,CL:0000014
male germ cell,CL:0000015
male germ line stem cell,CL:0000016
spermatocyte,CL:0000017
spermatid,CL:0000018
sperm,CL:0000019
spermatogonium,CL:0000020
female germ cell,CL:0000021
female germ line stem cell,CL:0000022
oocyte,CL:0000023
oogonial cell,CL:0000024
egg cell,CL:0000025
invertebrate nurse cell,CL:0000026
smooth muscle cell neural crest derived,CL:0000027
CNS neuron (sensu Nematoda and Protostomia),CL:0000028
neural crest derived neuron,CL:0000029
glioblast,CL:0000030
neuroblast (sensu Vertebrata),CL:0000031
neuroplacodal cell,CL:0000032
apocrine cell,CL:0000033
stem cell,CL:0000034
single fate stem cell,CL:0000035
epithelial fate stem cell,CL:0000036
hematopoietic stem cell,CL:0000037
erythroid progenitor cell,CL:0000038
germ line cell,CL:0000039
monoblast,CL:0000040
mature eosinophil,CL:0000041
neutrophilic myeloblast,CL:0000042
mature basophil,CL:0000043
obsolete thymus processed stem cell,CL:0000045
obsolete bursa processed stem cell,CL:0000046
neural stem cell,CL:0000047
multi fate stem cell,CL:0000048
common myeloid progenitor,CL:0000049
megakaryocyte-erythroid progenitor cell,CL:0000050
common lymphoid progenitor,CL:0000051
totipotent stem cell,CL:0000052
obsolete bone matrix secreting cell,CL:0000054
obsolete non-terminally differentiated cell,CL:0000055
myoblast,CL:0000056
fibroblast,CL:0000057
chondroblast,CL:0000058
ameloblast,CL:0000059
odontoblast,CL:0000060
cementoblast,CL:0000061
osteoblast,CL:0000062
obsolete cell by histology,CL:0000063
ciliated cell,CL:0000064
ependymal cell,CL:0000065
epithelial cell,CL:0000066
ciliated epithelial cell,CL:0000067
duct epithelial cell,CL:0000068
branched duct epithelial cell,CL:0000069
obsolete epithelial cell of gland,CL:0000070
blood vessel endothelial cell,CL:0000071
non-branched duct epithelial cell,CL:0000072
obsolete barrier epithelial cell,CL:0000073
obsolete epithem cell,CL:0000074
columnar/cuboidal epithelial cell,CL:0000075
squamous epithelial cell,CL:0000076
mesothelial cell,CL:0000077
peridermal cell,CL:0000078
stratified epithelial cell,CL:0000079
circulating cell,CL:0000080
blood cell,CL:0000081
epithelial cell of lung,CL:0000082
epithelial cell of pancreas,CL:0000083
T cell,CL:0000084
obsolete germ line stem cell (sensu Vertebrata),CL:0000085
obsolete germ line stem cell (sensu Nematoda and Protostomia),CL:0000086
obsolete male germ line stem cell (sensu Nematoda and Protostomia),CL:0000087
obsolete female germ line stem cell (sensu Nematoda and Protostomia),CL:0000088
obsolete male germ line stem cell (sensu Vertebrata),CL:0000089
obsolete female germ line stem cell (sensu Vertebrata),CL:0000090
Kupffer cell,CL:0000091
osteoclast,CL:0000092
obsolete osteochondroclast,CL:0000093
granulocyte,CL:0000094
neuron associated cell,CL:0000095
mature neutrophil,CL:0000096
mast cell,CL:0000097
sensory epithelial cell,CL:0000098
interneuron,CL:0000099
motor neuron,CL:0000100
sensory neuron,CL:0000101
polymodal neuron,CL:0000102
bipolar neuron,CL:0000103
multipolar neuron,CL:0000104
pseudounipolar neuron,CL:0000105
unipolar neuron,CL:0000106
autonomic neuron,CL:0000107
cholinergic neuron,CL:0000108
adrenergic neuron,CL:0000109
peptidergic neuron,CL:0000110
columnar neuron,CL:0000112
mononuclear phagocyte,CL:0000113
surface ectodermal cell,CL:0000114
endothelial cell,CL:0000115
pioneer neuron,CL:0000116
CNS neuron (sensu Vertebrata),CL:0000117
basket cell,CL:0000118
cerebellar Golgi cell,CL:0000119
granule cell,CL:0000120
Purkinje cell,CL:0000121
stellate neuron,CL:0000122
neuron associated cell (sensu Vertebrata),CL:0000123
obsolete glial cell (sensu Nematoda and Protostomia),CL:0000124
glial cell,CL:0000125
macroglial cell,CL:0000126
astrocyte,CL:0000127
oligodendrocyte,CL:0000128
microglial cell,CL:0000129
